State,District,Market,Commodity,Variety,Date,MIN Price,MAX Price,MODAL Price
Assam,Darrang,Kharupetia,Rice,Coarse,03/20/01,850,1050,1000
Gujarat,Dahod,Dahod,Rice,Other,12/11/01,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/12/01,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/13/01,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/14/01,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/15/01,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/18/01,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/19/01,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/20/01,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/21/01,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/22/01,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/24/01,650,650,650
Gujarat,Dahod,Dahod,Rice,Other,12/26/01,650,650,650
Gujarat,Dahod,Dahod,Rice,Other,12/27/01,650,650,650
Gujarat,Dahod,Dahod,Rice,Other,12/28/01,650,650,650
Gujarat,Dahod,Dahod,Rice,Other,12/29/01,650,650,650
Gujarat,Dahod,Dahod,Rice,Other,12/31/01,650,650,650
Gujarat,Vadodara(Baroda),Vadodara,Rice,IR-8,12/28/01,850,850,850
Gujarat,Vadodara(Baroda),Vadodara,Rice,IR-8,12/29/01,850,850,850
Gujarat,Vadodara(Baroda),Vadodara,Rice,IR-8,12/31/01,850,850,850
Gujarat,Vadodara(Baroda),Vadodara,Rice,Other,12/28/01,1100,1200,1150
Gujarat,Vadodara(Baroda),Vadodara,Rice,Other,12/29/01,1100,1200,1160
Gujarat,Vadodara(Baroda),Vadodara,Rice,Other,12/31/01,1100,1200,1150
Gujarat,Vadodara(Baroda),Vadodara,Rice,Parmal,12/27/01,690,700,700
Gujarat,Vadodara(Baroda),Vadodara,Rice,Parmal,12/28/01,690,700,700
Gujarat,Vadodara(Baroda),Vadodara,Rice,Parmal,12/29/01,690,700,700
Gujarat,Vadodara(Baroda),Vadodara,Rice,Parmal,12/31/01,690,700,700
Haryana,Ambala,Ambala City,Rice,Basmati-370,03/28/01,10,30,20
Haryana,Ambala,Ambala City,Rice,Basmati-370,08/31/01,1000,1500,1300
Haryana,Ambala,Ambala City,Rice,PR-103,08/31/01,450,600,550
Karnataka,Bangalore,Bangalore,Rice,Coarse,08/01/01,900,1000,950
Karnataka,Bangalore,Bangalore,Rice,Coarse,08/02/01,1450,1550,1500
Karnataka,Bangalore,Bangalore,Rice,Coarse,08/03/01,900,1000,950
Karnataka,Bangalore,Bangalore,Rice,Coarse,08/04/01,900,1000,950
Karnataka,Bangalore,Bangalore,Rice,Coarse,08/06/01,950,1050,1000
Karnataka,Bangalore,Bangalore,Rice,Coarse,09/01/01,900,1200,1050
Karnataka,Bangalore,Bangalore,Rice,Coarse,09/10/01,1000,1100,1050
Karnataka,Bangalore,Bangalore,Rice,Coarse,10/16/01,950,1100,1025
Karnataka,Bangalore,Bangalore,Rice,Coarse,12/20/01,0,500,400
Karnataka,Bangalore,Bangalore,Rice,Dappa,12/20/01,950,1100,1025
Karnataka,Bangalore,Bangalore,Rice,Fine,08/01/01,1700,1800,1750
Karnataka,Bangalore,Bangalore,Rice,Fine,08/02/01,1700,1800,1750
Karnataka,Bangalore,Bangalore,Rice,Fine,08/03/01,1700,1800,1750
Karnataka,Bangalore,Bangalore,Rice,Fine,08/04/01,1700,1800,1750
Karnataka,Bangalore,Bangalore,Rice,Fine,08/06/01,1650,1800,1725
Karnataka,Bangalore,Bangalore,Rice,Fine,09/01/01,1700,1800,1750
Karnataka,Bangalore,Bangalore,Rice,Fine,09/10/01,1750,1850,0
Karnataka,Bangalore,Bangalore,Rice,Fine,10/16/01,1800,1900,1850
Karnataka,Bangalore,Bangalore,Rice,Fine,12/20/01,1800,1900,1850
Karnataka,Bangalore,Bangalore,Rice,Medium,08/01/01,1450,1500,1500
Karnataka,Bangalore,Bangalore,Rice,Medium,08/02/01,1450,1550,1500
Karnataka,Bangalore,Bangalore,Rice,Medium,08/03/01,1450,1550,1500
Karnataka,Bangalore,Bangalore,Rice,Medium,08/04/01,1450,1550,1500
Karnataka,Bangalore,Bangalore,Rice,Medium,08/06/01,1450,1550,1500
Karnataka,Bangalore,Bangalore,Rice,Medium,09/01/01,1500,1600,1550
Karnataka,Bangalore,Bangalore,Rice,Medium,09/10/01,1500,1600,1550
Karnataka,Bangalore,Bangalore,Rice,Medium,10/16/01,1600,1700,1650
Karnataka,Bangalore,Bangalore,Rice,Medium,12/20/01,1550,1650,1600
Karnataka,Bangalore,Bangalore,Rice,Other,11/15/01,1800,1900,1850
Karnataka,Mysore,Mysore (Bandipalya),Rice,Dappa,12/19/01,800,1050,950
Karnataka,Mysore,Mysore (Bandipalya),Rice,Dappa,12/21/01,800,1050,950
Karnataka,Mysore,Mysore (Bandipalya),Rice,Dappa,12/27/01,800,1050,950
Karnataka,Mysore,Mysore (Bandipalya),Rice,Dappa,12/28/01,750,950,900
Karnataka,Mysore,Mysore (Bandipalya),Rice,Fine,12/19/01,1400,1850,1500
Karnataka,Mysore,Mysore (Bandipalya),Rice,Fine,12/21/01,1400,1850,1600
Karnataka,Mysore,Mysore (Bandipalya),Rice,Fine,12/27/01,1400,1850,1600
Karnataka,Mysore,Mysore (Bandipalya),Rice,Fine,12/28/01,1450,1850,1500
Karnataka,Mysore,Mysore (Bandipalya),Rice,Medium,12/19/01,1200,1350,1300
Karnataka,Mysore,Mysore (Bandipalya),Rice,Medium,12/21/01,1200,1350,1300
Karnataka,Mysore,Mysore (Bandipalya),Rice,Medium,12/27/01,1200,1350,1300
Karnataka,Mysore,Mysore (Bandipalya),Rice,Medium,12/28/01,1200,1350,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati (Rose),09/17/01,3600,5000,4500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati (Rose),09/20/01,3200,4500,4000
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati (Rose),11/06/01,3000,4000,3500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Car,09/17/01,3500,4000,3800
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Car,09/20/01,3000,4000,3500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Car,09/25/01,3200,4000,3500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Car,10/03/01,3000,4000,3500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Car,10/05/01,3000,4000,3500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Car,10/09/01,2800,3500,3200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Car,10/16/01,2800,3500,3200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Car,10/23/01,2500,3500,3000
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Car,10/30/01,2800,3500,3200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Car,11/02/01,2800,3500,3200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Car,11/06/01,2800,3500,3200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Car,11/16/01,2700,3400,3100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Car,11/20/01,2600,3400,3000
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Car,11/30/01,2800,3400,3100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Car,12/07/01,2700,3400,3100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Charmi,09/17/01,3200,4000,3500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Charmi,09/20/01,3500,4500,4000
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Charmi,09/25/01,3500,5000,4500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Charmi,10/03/01,3500,4500,4000
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Charmi,10/05/01,3400,4000,3700
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Charmi,10/09/01,3300,4000,3700
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Charmi,10/16/01,3200,4000,3700
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Charmi,10/23/01,3000,4000,3500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Charmi,10/30/01,3000,3800,3500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Charmi,11/02/01,3000,3800,3500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Charmi,11/06/01,3000,3800,3500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Charmi,11/16/01,3000,3800,3500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Charmi,11/20/01,3000,3600,3300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Charmi,11/30/01,3000,3500,3300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Charmi,12/07/01,3000,3400,3200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Silky Kohinoor,09/17/01,5000,6000,5500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Silky Kohinoor,09/20/01,4500,6000,5500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Silky Kohinoor,09/25/01,4800,6000,5500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Silky Kohinoor,10/03/01,4500,5500,5000
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Silky Kohinoor,10/05/01,4300,5500,5000
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Silky Kohinoor,10/09/01,4300,5000,4700
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Silky Kohinoor,10/16/01,4000,5000,4500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Silky Kohinoor,10/23/01,4000,5000,4500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Silky Kohinoor,10/30/01,4000,5000,4500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Silky Kohinoor,11/02/01,4000,5000,4500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Silky Kohinoor,11/06/01,4200,5000,4600
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Silky Kohinoor,11/16/01,4000,4500,4300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Silky Kohinoor,11/20/01,3800,4500,4200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Silky Kohinoor,11/30/01,3600,4400,4000
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Silky Kohinoor,12/07/01,3600,4400,4000
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Super Kohinoor,09/17/01,4400,5500,5000
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Super Kohinoor,09/20/01,4300,5500,5000
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Super Kohinoor,09/25/01,4500,5500,5000
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Super Kohinoor,10/03/01,4300,5000,4700
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Super Kohinoor,10/05/01,4200,5000,4600
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Super Kohinoor,10/09/01,4200,5000,4600
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Super Kohinoor,10/16/01,4200,5000,4700
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Super Kohinoor,10/23/01,4000,4800,4500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Super Kohinoor,10/30/01,4000,4800,4500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Super Kohinoor,11/02/01,4000,4800,4500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Super Kohinoor,11/06/01,4000,4800,4500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Super Kohinoor,11/16/01,3800,4400,4100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Super Kohinoor,11/20/01,3800,4400,4100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Super Kohinoor,11/30/01,3800,4200,4000
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Super Kohinoor,12/07/01,3800,4200,4000
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Trophy,09/17/01,3500,4500,4000
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Trophy,09/20/01,3500,4500,4000
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Trophy,09/25/01,3500,4500,4000
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Trophy,10/03/01,4000,4500,4300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Trophy,10/05/01,4000,4500,4300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Trophy,10/09/01,4000,4500,4300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Trophy,10/16/01,4000,4500,4300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Trophy,10/23/01,4000,4500,4300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Trophy,10/30/01,4000,4500,4300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Trophy,11/02/01,4000,4500,4300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Trophy,11/06/01,4000,4500,4300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Trophy,11/16/01,4000,4500,4300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Trophy,11/20/01,4000,4400,4200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Trophy,11/30/01,4000,4400,4200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Basmati Trophy,12/07/01,4000,4400,4200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR 20 Fine Raw,09/17/01,1000,1400,1200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR 20 Fine Raw,11/16/01,1000,1200,1100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR 20 Fine Raw,11/20/01,1000,1200,1100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR 20 Fine Raw,11/30/01,1000,1200,1100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR 20 Fine Raw,12/07/01,1000,1200,1100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8,09/20/01,1200,1500,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8,09/25/01,1200,1500,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8,10/03/01,1200,1400,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8,10/05/01,1100,1400,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8,10/09/01,1150,1400,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8,10/16/01,1200,1400,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8,10/23/01,1100,1400,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8,10/30/01,1100,1300,1200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8,11/02/01,1100,1300,1200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8,11/06/01,1100,1300,1200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8,11/16/01,1100,1300,1200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8,11/20/01,1180,1250,1220
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8,11/30/01,1150,1250,1200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8,12/07/01,1150,1250,1200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8 Raw (New),09/20/01,1000,1300,1200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8 Raw (New),09/25/01,1000,1400,1200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8 Raw (New),10/03/01,1000,1200,1100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8 Raw (New),10/05/01,950,1200,1100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8 Raw (New),10/09/01,900,1200,1100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8 Raw (New),10/16/01,1000,1200,1100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8 Raw (New),10/23/01,950,1200,1100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8 Raw (New),10/30/01,1000,1200,1100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8 Raw (New),11/02/01,1000,1200,1100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8 Raw (New),11/06/01,1000,1200,1100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8 Raw (New),11/16/01,1000,1200,1100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8 Raw (New),11/20/01,1000,1200,1100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8 Raw (New),11/30/01,930,1030,980
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,IR-8 Raw (New),12/07/01,1000,1100,1050
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Jaya,09/17/01,1200,1500,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Jaya,09/20/01,1100,1400,1200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Jaya,09/25/01,1100,1400,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Jaya,10/03/01,1100,1400,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Jaya,10/05/01,1100,1300,1200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Jaya,10/09/01,1100,1300,1200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Jaya,10/16/01,1100,1300,1200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Jaya,10/23/01,1100,1300,1200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Jaya,10/30/01,1200,1400,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Jaya,11/02/01,1200,1400,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Jaya,11/06/01,1200,1400,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Jaya,11/16/01,1200,1400,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Jaya,11/20/01,1200,1400,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Jaya,11/30/01,1100,1250,1200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni,09/17/01,1300,1600,1500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni,09/20/01,1200,1500,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni,09/25/01,1200,1500,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni,10/03/01,1200,1500,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni,10/05/01,1200,1500,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni,10/09/01,1300,1500,1400
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni,10/16/01,1400,1600,1500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni,10/23/01,1400,1600,1500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni,10/30/01,1300,1600,1500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni,11/02/01,1300,1600,1500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni,11/06/01,1300,1600,1500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni,11/16/01,1300,1600,1500
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni,11/20/01,1250,1400,1350
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni (Fine) Boiled,09/17/01,1200,1500,1400
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni (Fine) Boiled,11/30/01,1300,1500,1400
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni (Fine) Boiled,12/07/01,1300,1500,1400
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni Fine Raw,09/17/01,1100,1500,1300
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni Fine Raw,10/03/01,1000,1200,1100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni Fine Raw,10/05/01,1000,1200,1100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Ponni Fine Raw,10/09/01,1000,1200,1100
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Zeeraga Samba Rawrice,09/20/01,1050,1400,1200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Zeeraga Samba Rawrice,09/25/01,1000,1400,1200
Kerala,Thiruvananthapuram,Thiruvananthapuram,Rice,Zeeraga Samba Rawrice,10/03/01,1000,1300,1200
